CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;181377;JOGO PISTAO C/ ANEIS STD;181377;101;LOCAL WMS; ;1;0;1;S;10102;CABECOTE
6;181411;BUCHA BIELA JOHN DEERE;181411;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;181415;BOMBA DE OLEO;181415;101;LOCAL WMS; ;1;0;1;S;0;<SEM GRUPO>
6;181421;PARAFUSO VOLANTE;181421;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;181423;JET COOLER MOTOR JOHN DEERE;181423;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;181717;JUNTA VEDAÇÃO JOHN DEERE 3520;181717;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
6;183345;JOGO JUNTAS COMPLETO MOTOR;183345;101;LOCAL WMS; ;1;2;-1;S;10101;BLOCO DOS CILINDROS
6;183361;CILINDRO DA PLANETARIA - 16S-130/160/190/1650 (PEQUENA);183361;101;LOCAL WMS; ;2;0;2;S;10301;CARCACA DE MUDANCAS
6;183406;BRONZINA BIELA STD;183406;101;LOCAL WMS; ;12;0;12;S;10104;VIRABREQUIM
6;184304;ABRACADEIRA MANGUEIRA RETORNO TURBINA;184304;101;LOCAL WMS; ;2;0;2;S;0;<SEM GRUPO>
6;184315;ARRUELA DISTANCIADORA 1,00 mm ACO;184315;101;LOCAL WMS; ;15;4;11;S;10301;CARCACA DE MUDANCAS
6;184339;VALVULA ESCAPE TOP BREAK OM 904 /906;184339;101;LOCAL WMS; ;4;4;0;S;10101;BLOCO DOS CILINDROS
6;184781;VARETA VALVULA JOHN DEERE 6068T;184781;101;LOCAL WMS; ;12;0;12;S;20299;GRUPO EM MANUTENCAO
6;184782;PARAFUSO ACO MANCAL JOHNN DEERE;184782;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;184789;POLIA  DO VIRABREQUIM  JOHN DEERE;184789;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
6;184919;GUIA VALVULA ADMISSAO / ESCAPE STD;184919;101;LOCAL WMS; ;16;0;16;S;0;<SEM GRUPO>
6;185002;CANO DE RETORNO TURBINA 6068;185002;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
6;186784;KIT MOTOR PISTAO C/ ANEIS STD;186784;101;LOCAL WMS; ;6;0;6;S;10101;BLOCO DOS CILINDROS
6;187676;PINO PRESSIONADOR BARRA COMANDO CAMBIO G60 G85;187676;101;LOCAL WMS; ;20;4;16;S;10301;CARCACA DE MUDANCAS
6;187790;TAMPA FILTRO OLEO LUBRIFICANTE MOTOR MB BAIXA;187790;101;LOCAL WMS; ;1;0;1;S;10701;ALTERNADOR
6;187801;COXIM MODULO IGNICAO MBB;187801;101;LOCAL WMS; ;10;0;10;S;10101;BLOCO DOS CILINDROS
6;187899;BOMBA DE OLEO;187899;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;188510;BOMBA OLEO LUBRIFICANTE MOTOR;188510;101;LOCAL WMS; ;2;0;2;S;10104;VIRABREQUIM
6;189495;PINO CILINDRICO (MF-8999);189495;101;LOCAL WMS; ;4;0;4;S;10101;BLOCO DOS CILINDROS
6;190016;TUBO ENTRADA OLEO TURBINA;190016;101;LOCAL WMS; ;1;0;1;S;10109;INJECAO COMBUSTIVEL
6;191391;MANGUEIRA DRENO FILTRO COMBUSTIVEL;191391;101;LOCAL WMS; ;1;0;1;S;10108;REFRIGERACAO AGUA
6;192049;CONJ. TUBO ALIMENTACAO COMBUSTIVEL;192049;101;LOCAL WMS; ;1;0;1;S;10109;INJECAO COMBUSTIVEL
6;192165;CONJ. TUBO COMBUSTIVEL;192165;101;LOCAL WMS; ;1;0;1;S;10109;INJECAO COMBUSTIVEL
6;193195;PARAFUSO 3/8X117 UNF 2A;193195;101;LOCAL WMS; ;4;0;4;S;11501;PARAFUSO
6;193269;PARAFUSO FLANGEADO, 3/8X2 3/8 UNF;193269;101;LOCAL WMS; ;3;0;3;S;11501;PARAFUSO
6;193867;TUBO HASTE NIVEL OLEO;193867;101;LOCAL WMS; ;1;1;0;S;10109;INJECAO COMBUSTIVEL
6;194116;VALVULA RESFRIADOR PISTAO PK1006 / P4000;194116;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;195124;SENSOR PRESSAO RAIL FLAUTA MOTOR MWM;195124;101;LOCAL WMS; ;1;0;1;S;10703;SENSORES E INTERRUPTORES
6;195648;COMANDO VALVULA  ACO CUMMINS SERIE C MECANICO;195648;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;195769;KIT MOTOR CAMISA PISTAO E ANEL  STD;195769;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;195810;JOGO JUNTAS MOTOR COMPLETO / JUNTA CABECOTE C/ ANEL BORRACHA GROSSO / C/  ANEIS CAMISA MBB OM-457 C/ RETENTOR;195810;101;LOCAL WMS; ;2;1;1;S;10101;BLOCO DOS CILINDROS
6;195873;TAMPA PLASTICA CAPA SECA MOTOR MB OM457;195873;101;LOCAL WMS; ;1;0;1;S;11301;CHAPA DO ASSOALHO
6;196325;CALCO CAMISA JOHNN DEERE;196325;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;196514;EIXO ENGRENAGEM PLANETARIA;196514;101;LOCAL WMS; ;30;5;25;S;10301;CARCACA DE MUDANCAS
6;196898;POLIA TENSORA CORREIA P/ COMPRESSOR ACO MBB OM924;196898;101;LOCAL WMS; ;1;1;0;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;196904;ESTICADOR CORREIA POLIA LISA;196904;101;LOCAL WMS; ;2;1;1;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;200530;SENSOR VELOCIMETRO 4 PINOS CHATOS HASTE 25MM;200530;101;LOCAL WMS; ;1;0;1;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;200551;SENSOR INDUTIVO VELOCIMETRO 4 PINO REDONDO HASTE 25MM;200551;101;LOCAL WMS; ;1;2;-1;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;200753;VALVULA ALIVIO FILTRO OLEO MOTOR LUBRIFICANTE MBB ELETRONICO;200753;101;LOCAL WMS; ;3;1;2;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
